Date,predictions(m)
2022-07-02 14:00 PDT,2.2
2022-07-02 14:15 PDT,2.36
2022-07-02 14:30 PDT,2.52
2022-07-02 14:45 PDT,2.67
2022-07-02 15:00 PDT,2.82
2022-07-02 15:15 PDT,2.97
2022-07-02 15:30 PDT,3.11
2022-07-02 15:45 PDT,3.25
2022-07-02 16:00 PDT,3.38
2022-07-02 16:15 PDT,3.5
2022-07-02 16:30 PDT,3.6
2022-07-02 16:45 PDT,3.69
2022-07-02 17:00 PDT,3.77
2022-07-02 17:15 PDT,3.82
2022-07-02 17:30 PDT,3.85
2022-07-02 17:45 PDT,3.86
2022-07-02 18:00 PDT,3.84
2022-07-02 18:15 PDT,3.8
2022-07-02 18:30 PDT,3.74
2022-07-02 18:45 PDT,3.67
2022-07-02 19:00 PDT,3.58
2022-07-02 19:15 PDT,3.48
2022-07-02 19:30 PDT,3.38
2022-07-02 19:45 PDT,3.28
2022-07-02 20:00 PDT,3.18
2022-07-02 20:15 PDT,3.09
2022-07-02 20:30 PDT,3
2022-07-02 20:45 PDT,2.92
2022-07-02 21:00 PDT,2.85
2022-07-02 21:15 PDT,2.78
2022-07-02 21:30 PDT,2.72
2022-07-02 21:45 PDT,2.67
2022-07-02 22:00 PDT,2.62
2022-07-02 22:15 PDT,2.59
2022-07-02 22:30 PDT,2.56
2022-07-02 22:45 PDT,2.55
2022-07-02 23:00 PDT,2.55
2022-07-02 23:15 PDT,2.56
2022-07-02 23:30 PDT,2.59
2022-07-02 23:45 PDT,2.64
2022-07-03 00:00 PDT,2.71
2022-07-03 00:15 PDT,2.79
2022-07-03 00:30 PDT,2.88
2022-07-03 00:45 PDT,2.99
2022-07-03 01:00 PDT,3.1
2022-07-03 01:15 PDT,3.22
2022-07-03 01:30 PDT,3.34
2022-07-03 01:45 PDT,3.46
2022-07-03 02:00 PDT,3.57
2022-07-03 02:15 PDT,3.67
2022-07-03 02:30 PDT,3.76
2022-07-03 02:45 PDT,3.84
2022-07-03 03:00 PDT,3.91
2022-07-03 03:15 PDT,3.97
2022-07-03 03:30 PDT,4.01
2022-07-03 03:45 PDT,4.05
2022-07-03 04:00 PDT,4.07
2022-07-03 04:15 PDT,4.09
