Date,predictions(m)
2022-06-11 14:00 PDT,3.38
2022-06-11 14:15 PDT,3.28
2022-06-11 14:30 PDT,3.17
2022-06-11 14:45 PDT,3.05
2022-06-11 15:00 PDT,2.94
2022-06-11 15:15 PDT,2.82
2022-06-11 15:30 PDT,2.71
2022-06-11 15:45 PDT,2.6
2022-06-11 16:00 PDT,2.51
2022-06-11 16:15 PDT,2.42
2022-06-11 16:30 PDT,2.34
2022-06-11 16:45 PDT,2.27
2022-06-11 17:00 PDT,2.22
2022-06-11 17:15 PDT,2.17
2022-06-11 17:30 PDT,2.14
2022-06-11 17:45 PDT,2.12
2022-06-11 18:00 PDT,2.12
2022-06-11 18:15 PDT,2.14
2022-06-11 18:30 PDT,2.18
2022-06-11 18:45 PDT,2.24
2022-06-11 19:00 PDT,2.32
2022-06-11 19:15 PDT,2.42
2022-06-11 19:30 PDT,2.54
2022-06-11 19:45 PDT,2.68
2022-06-11 20:00 PDT,2.83
2022-06-11 20:15 PDT,2.99
2022-06-11 20:30 PDT,3.16
2022-06-11 20:45 PDT,3.33
2022-06-11 21:00 PDT,3.5
2022-06-11 21:15 PDT,3.66
2022-06-11 21:30 PDT,3.82
2022-06-11 21:45 PDT,3.97
2022-06-11 22:00 PDT,4.1
2022-06-11 22:15 PDT,4.22
2022-06-11 22:30 PDT,4.33
2022-06-11 22:45 PDT,4.43
2022-06-11 23:00 PDT,4.51
2022-06-11 23:15 PDT,4.58
2022-06-11 23:30 PDT,4.64
2022-06-11 23:45 PDT,4.67
2022-06-12 00:00 PDT,4.69
2022-06-12 00:15 PDT,4.69
2022-06-12 00:30 PDT,4.67
2022-06-12 00:45 PDT,4.63
2022-06-12 01:00 PDT,4.55
2022-06-12 01:15 PDT,4.46
2022-06-12 01:30 PDT,4.33
2022-06-12 01:45 PDT,4.19
2022-06-12 02:00 PDT,4.02
2022-06-12 02:15 PDT,3.83
2022-06-12 02:30 PDT,3.63
2022-06-12 02:45 PDT,3.42
2022-06-12 03:00 PDT,3.2
2022-06-12 03:15 PDT,2.98
2022-06-12 03:30 PDT,2.76
2022-06-12 03:45 PDT,2.55
2022-06-12 04:00 PDT,2.34
2022-06-12 04:15 PDT,2.13
2022-06-12 04:30 PDT,1.94
2022-06-12 04:45 PDT,1.75
2022-06-12 05:00 PDT,1.58
2022-06-12 05:15 PDT,1.41
2022-06-12 05:30 PDT,1.26
2022-06-12 05:45 PDT,1.11
2022-06-12 06:00 PDT,0.99
2022-06-12 06:15 PDT,0.88
2022-06-12 06:30 PDT,0.8
2022-06-12 06:45 PDT,0.74
2022-06-12 07:00 PDT,0.71
2022-06-12 07:15 PDT,0.71
2022-06-12 07:30 PDT,0.74
2022-06-12 07:45 PDT,0.8
2022-06-12 08:00 PDT,0.89
2022-06-12 08:15 PDT,1
2022-06-12 08:30 PDT,1.14
2022-06-12 08:45 PDT,1.29
2022-06-12 09:00 PDT,1.46
2022-06-12 09:15 PDT,1.63
2022-06-12 09:30 PDT,1.81
2022-06-12 09:45 PDT,1.99
