Date,predictions(m)
2022-05-21 14:00 PDT,0.9
2022-05-21 14:15 PDT,0.99
2022-05-21 14:30 PDT,1.1
2022-05-21 14:45 PDT,1.23
2022-05-21 15:00 PDT,1.37
2022-05-21 15:15 PDT,1.52
2022-05-21 15:30 PDT,1.68
2022-05-21 15:45 PDT,1.84
2022-05-21 16:00 PDT,2
2022-05-21 16:15 PDT,2.16
2022-05-21 16:30 PDT,2.32
2022-05-21 16:45 PDT,2.49
2022-05-21 17:00 PDT,2.64
2022-05-21 17:15 PDT,2.8
2022-05-21 17:30 PDT,2.96
2022-05-21 17:45 PDT,3.11
2022-05-21 18:00 PDT,3.25
2022-05-21 18:15 PDT,3.39
2022-05-21 18:30 PDT,3.52
2022-05-21 18:45 PDT,3.63
2022-05-21 19:00 PDT,3.73
2022-05-21 19:15 PDT,3.82
2022-05-21 19:30 PDT,3.88
2022-05-21 19:45 PDT,3.92
2022-05-21 20:00 PDT,3.94
2022-05-21 20:15 PDT,3.94
2022-05-21 20:30 PDT,3.92
2022-05-21 20:45 PDT,3.87
2022-05-21 21:00 PDT,3.82
2022-05-21 21:15 PDT,3.74
2022-05-21 21:30 PDT,3.66
2022-05-21 21:45 PDT,3.57
2022-05-21 22:00 PDT,3.48
2022-05-21 22:15 PDT,3.39
2022-05-21 22:30 PDT,3.3
2022-05-21 22:45 PDT,3.21
2022-05-21 23:00 PDT,3.12
2022-05-21 23:15 PDT,3.04
2022-05-21 23:30 PDT,2.96
2022-05-21 23:45 PDT,2.89
2022-05-22 00:00 PDT,2.82
2022-05-22 00:15 PDT,2.76
2022-05-22 00:30 PDT,2.71
2022-05-22 00:45 PDT,2.66
2022-05-22 01:00 PDT,2.62
2022-05-22 01:15 PDT,2.6
2022-05-22 01:30 PDT,2.59
2022-05-22 01:45 PDT,2.59
2022-05-22 02:00 PDT,2.61
2022-05-22 02:15 PDT,2.64
2022-05-22 02:30 PDT,2.69
2022-05-22 02:45 PDT,2.76
2022-05-22 03:00 PDT,2.84
2022-05-22 03:15 PDT,2.93
2022-05-22 03:30 PDT,3.02
2022-05-22 03:45 PDT,3.12
2022-05-22 04:00 PDT,3.23
2022-05-22 04:15 PDT,3.33
2022-05-22 04:30 PDT,3.42
2022-05-22 04:45 PDT,3.51
2022-05-22 05:00 PDT,3.6
2022-05-22 05:15 PDT,3.68
2022-05-22 05:30 PDT,3.74
2022-05-22 05:45 PDT,3.8
2022-05-22 06:00 PDT,3.85
2022-05-22 06:15 PDT,3.89
2022-05-22 06:30 PDT,3.92
2022-05-22 06:45 PDT,3.94
2022-05-22 07:00 PDT,3.95
2022-05-22 07:15 PDT,3.95
2022-05-22 07:30 PDT,3.93
2022-05-22 07:45 PDT,3.9
2022-05-22 08:00 PDT,3.86
2022-05-22 08:15 PDT,3.8
2022-05-22 08:30 PDT,3.72
2022-05-22 08:45 PDT,3.62
2022-05-22 09:00 PDT,3.52
2022-05-22 09:15 PDT,3.39
2022-05-22 09:30 PDT,3.26
2022-05-22 09:45 PDT,3.11
2022-05-22 10:00 PDT,2.96
2022-05-22 10:15 PDT,2.8
2022-05-22 10:30 PDT,2.64
2022-05-22 10:45 PDT,2.49
2022-05-22 11:00 PDT,2.33
2022-05-22 11:15 PDT,2.18
2022-05-22 11:30 PDT,2.03
2022-05-22 11:45 PDT,1.88
2022-05-22 12:00 PDT,1.75
2022-05-22 12:15 PDT,1.62
2022-05-22 12:30 PDT,1.5
2022-05-22 12:45 PDT,1.39
2022-05-22 13:00 PDT,1.3
2022-05-22 13:15 PDT,1.21
2022-05-22 13:30 PDT,1.15
2022-05-22 13:45 PDT,1.1
2022-05-22 14:00 PDT,1.07
2022-05-22 14:15 PDT,1.06
2022-05-22 14:30 PDT,1.07
2022-05-22 14:45 PDT,1.11
2022-05-22 15:00 PDT,1.16
2022-05-22 15:15 PDT,1.24
2022-05-22 15:30 PDT,1.33
2022-05-22 15:45 PDT,1.43
2022-05-22 16:00 PDT,1.56
2022-05-22 16:15 PDT,1.69
2022-05-22 16:30 PDT,1.82
2022-05-22 16:45 PDT,1.97
2022-05-22 17:00 PDT,2.12
2022-05-22 17:15 PDT,2.26
2022-05-22 17:30 PDT,2.41
2022-05-22 17:45 PDT,2.56
2022-05-22 18:00 PDT,2.71
2022-05-22 18:15 PDT,2.86
2022-05-22 18:30 PDT,3.01
2022-05-22 18:45 PDT,3.15
2022-05-22 19:00 PDT,3.29
2022-05-22 19:15 PDT,3.42
2022-05-22 19:30 PDT,3.55
2022-05-22 19:45 PDT,3.66
2022-05-22 20:00 PDT,3.76
2022-05-22 20:15 PDT,3.85
2022-05-22 20:30 PDT,3.91
2022-05-22 20:45 PDT,3.96
2022-05-22 21:00 PDT,3.99
2022-05-22 21:15 PDT,3.99
2022-05-22 21:30 PDT,3.98
2022-05-22 21:45 PDT,3.94
2022-05-22 22:00 PDT,3.9
2022-05-22 22:15 PDT,3.83
2022-05-22 22:30 PDT,3.76
2022-05-22 22:45 PDT,3.67
2022-05-22 23:00 PDT,3.59
2022-05-22 23:15 PDT,3.5
2022-05-22 23:30 PDT,3.4
2022-05-22 23:45 PDT,3.31
2022-05-23 00:00 PDT,3.22
2022-05-23 00:15 PDT,3.13
2022-05-23 00:30 PDT,3.04
2022-05-23 00:45 PDT,2.95
2022-05-23 01:00 PDT,2.87
2022-05-23 01:15 PDT,2.78
2022-05-23 01:30 PDT,2.71
