Date,predictions(m)
2022-06-27 08:00 PDT,0.86
2022-06-27 08:15 PDT,0.87
2022-06-27 08:30 PDT,0.9
2022-06-27 08:45 PDT,0.96
2022-06-27 09:00 PDT,1.04
2022-06-27 09:15 PDT,1.15
2022-06-27 09:30 PDT,1.27
2022-06-27 09:45 PDT,1.4
2022-06-27 10:00 PDT,1.55
2022-06-27 10:15 PDT,1.69
2022-06-27 10:30 PDT,1.85
2022-06-27 10:45 PDT,2
2022-06-27 11:00 PDT,2.16
2022-06-27 11:15 PDT,2.31
2022-06-27 11:30 PDT,2.46
2022-06-27 11:45 PDT,2.61
2022-06-27 12:00 PDT,2.76
2022-06-27 12:15 PDT,2.91
2022-06-27 12:30 PDT,3.05
2022-06-27 12:45 PDT,3.19
2022-06-27 13:00 PDT,3.32
2022-06-27 13:15 PDT,3.44
2022-06-27 13:30 PDT,3.55
2022-06-27 13:45 PDT,3.64
2022-06-27 14:00 PDT,3.71
2022-06-27 14:15 PDT,3.76
2022-06-27 14:30 PDT,3.78
2022-06-27 14:45 PDT,3.78
2022-06-27 15:00 PDT,3.76
2022-06-27 15:15 PDT,3.72
2022-06-27 15:30 PDT,3.66
2022-06-27 15:45 PDT,3.59
2022-06-27 16:00 PDT,3.51
2022-06-27 16:15 PDT,3.42
2022-06-27 16:30 PDT,3.33
2022-06-27 16:45 PDT,3.23
2022-06-27 17:00 PDT,3.15
2022-06-27 17:15 PDT,3.06
2022-06-27 17:30 PDT,2.98
2022-06-27 17:45 PDT,2.91
2022-06-27 18:00 PDT,2.85
2022-06-27 18:15 PDT,2.79
2022-06-27 18:30 PDT,2.74
2022-06-27 18:45 PDT,2.7
2022-06-27 19:00 PDT,2.66
2022-06-27 19:15 PDT,2.64
2022-06-27 19:30 PDT,2.62
2022-06-27 19:45 PDT,2.62
2022-06-27 20:00 PDT,2.64
2022-06-27 20:15 PDT,2.67
2022-06-27 20:30 PDT,2.72
2022-06-27 20:45 PDT,2.79
2022-06-27 21:00 PDT,2.87
2022-06-27 21:15 PDT,2.97
2022-06-27 21:30 PDT,3.08
2022-06-27 21:45 PDT,3.2
2022-06-27 22:00 PDT,3.33
2022-06-27 22:15 PDT,3.46
2022-06-27 22:30 PDT,3.59
2022-06-27 22:45 PDT,3.72
2022-06-27 23:00 PDT,3.83
2022-06-27 23:15 PDT,3.94
2022-06-27 23:30 PDT,4.04
