Date,predictions(m)
2022-05-14 14:00 PDT,4.06
2022-05-14 14:15 PDT,4.03
2022-05-14 14:30 PDT,3.97
2022-05-14 14:45 PDT,3.88
2022-05-14 15:00 PDT,3.77
2022-05-14 15:15 PDT,3.64
2022-05-14 15:30 PDT,3.49
2022-05-14 15:45 PDT,3.32
2022-05-14 16:00 PDT,3.16
2022-05-14 16:15 PDT,2.99
2022-05-14 16:30 PDT,2.83
2022-05-14 16:45 PDT,2.67
2022-05-14 17:00 PDT,2.52
2022-05-14 17:15 PDT,2.39
2022-05-14 17:30 PDT,2.26
2022-05-14 17:45 PDT,2.15
2022-05-14 18:00 PDT,2.05
2022-05-14 18:15 PDT,1.97
2022-05-14 18:30 PDT,1.89
2022-05-14 18:45 PDT,1.83
2022-05-14 19:00 PDT,1.79
2022-05-14 19:15 PDT,1.77
2022-05-14 19:30 PDT,1.78
2022-05-14 19:45 PDT,1.8
2022-05-14 20:00 PDT,1.86
2022-05-14 20:15 PDT,1.94
2022-05-14 20:30 PDT,2.05
2022-05-14 20:45 PDT,2.19
2022-05-14 21:00 PDT,2.35
2022-05-14 21:15 PDT,2.53
2022-05-14 21:30 PDT,2.73
2022-05-14 21:45 PDT,2.93
2022-05-14 22:00 PDT,3.14
2022-05-14 22:15 PDT,3.34
2022-05-14 22:30 PDT,3.54
2022-05-14 22:45 PDT,3.73
2022-05-14 23:00 PDT,3.9
2022-05-14 23:15 PDT,4.06
2022-05-14 23:30 PDT,4.21
2022-05-14 23:45 PDT,4.34
2022-05-15 00:00 PDT,4.46
2022-05-15 00:15 PDT,4.56
2022-05-15 00:30 PDT,4.65
2022-05-15 00:45 PDT,4.73
2022-05-15 01:00 PDT,4.79
2022-05-15 01:15 PDT,4.83
2022-05-15 01:30 PDT,4.85
2022-05-15 01:45 PDT,4.84
2022-05-15 02:00 PDT,4.8
2022-05-15 02:15 PDT,4.73
2022-05-15 02:30 PDT,4.62
2022-05-15 02:45 PDT,4.49
2022-05-15 03:00 PDT,4.32
2022-05-15 03:15 PDT,4.13
2022-05-15 03:30 PDT,3.91
2022-05-15 03:45 PDT,3.68
2022-05-15 04:00 PDT,3.43
2022-05-15 04:15 PDT,3.18
2022-05-15 04:30 PDT,2.93
2022-05-15 04:45 PDT,2.68
2022-05-15 05:00 PDT,2.44
2022-05-15 05:15 PDT,2.21
2022-05-15 05:30 PDT,1.99
2022-05-15 05:45 PDT,1.78
2022-05-15 06:00 PDT,1.59
2022-05-15 06:15 PDT,1.4
2022-05-15 06:30 PDT,1.23
2022-05-15 06:45 PDT,1.06
2022-05-15 07:00 PDT,0.92
2022-05-15 07:15 PDT,0.79
