Date,predictions(m)
2022-06-04 14:00 PDT,1.66
2022-06-04 14:15 PDT,1.78
2022-06-04 14:30 PDT,1.92
2022-06-04 14:45 PDT,2.05
2022-06-04 15:00 PDT,2.19
2022-06-04 15:15 PDT,2.32
2022-06-04 15:30 PDT,2.46
2022-06-04 15:45 PDT,2.59
2022-06-04 16:00 PDT,2.72
2022-06-04 16:15 PDT,2.85
2022-06-04 16:30 PDT,2.97
2022-06-04 16:45 PDT,3.09
2022-06-04 17:00 PDT,3.21
2022-06-04 17:15 PDT,3.31
2022-06-04 17:30 PDT,3.41
2022-06-04 17:45 PDT,3.49
2022-06-04 18:00 PDT,3.56
2022-06-04 18:15 PDT,3.61
2022-06-04 18:30 PDT,3.65
2022-06-04 18:45 PDT,3.67
2022-06-04 19:00 PDT,3.67
2022-06-04 19:15 PDT,3.65
2022-06-04 19:30 PDT,3.62
2022-06-04 19:45 PDT,3.58
2022-06-04 20:00 PDT,3.53
2022-06-04 20:15 PDT,3.47
2022-06-04 20:30 PDT,3.4
2022-06-04 20:45 PDT,3.33
2022-06-04 21:00 PDT,3.27
2022-06-04 21:15 PDT,3.2
2022-06-04 21:30 PDT,3.14
2022-06-04 21:45 PDT,3.08
2022-06-04 22:00 PDT,3.02
2022-06-04 22:15 PDT,2.97
2022-06-04 22:30 PDT,2.93
2022-06-04 22:45 PDT,2.89
2022-06-04 23:00 PDT,2.86
2022-06-04 23:15 PDT,2.83
2022-06-04 23:30 PDT,2.81
2022-06-04 23:45 PDT,2.8
2022-06-05 00:00 PDT,2.8
2022-06-05 00:15 PDT,2.81
2022-06-05 00:30 PDT,2.84
2022-06-05 00:45 PDT,2.87
2022-06-05 01:00 PDT,2.91
2022-06-05 01:15 PDT,2.97
2022-06-05 01:30 PDT,3.03
2022-06-05 01:45 PDT,3.1
2022-06-05 02:00 PDT,3.18
2022-06-05 02:15 PDT,3.25
2022-06-05 02:30 PDT,3.33
2022-06-05 02:45 PDT,3.41
2022-06-05 03:00 PDT,3.48
2022-06-05 03:15 PDT,3.55
2022-06-05 03:30 PDT,3.61
2022-06-05 03:45 PDT,3.67
2022-06-05 04:00 PDT,3.72
2022-06-05 04:15 PDT,3.76
2022-06-05 04:30 PDT,3.8
2022-06-05 04:45 PDT,3.82
2022-06-05 05:00 PDT,3.84
2022-06-05 05:15 PDT,3.84
2022-06-05 05:30 PDT,3.84
2022-06-05 05:45 PDT,3.82
2022-06-05 06:00 PDT,3.79
2022-06-05 06:15 PDT,3.75
2022-06-05 06:30 PDT,3.69
2022-06-05 06:45 PDT,3.63
2022-06-05 07:00 PDT,3.54
2022-06-05 07:15 PDT,3.45
2022-06-05 07:30 PDT,3.34
2022-06-05 07:45 PDT,3.23
2022-06-05 08:00 PDT,3.1
2022-06-05 08:15 PDT,2.97
2022-06-05 08:30 PDT,2.84
2022-06-05 08:45 PDT,2.7
2022-06-05 09:00 PDT,2.57
2022-06-05 09:15 PDT,2.44
2022-06-05 09:30 PDT,2.3
2022-06-05 09:45 PDT,2.18
2022-06-05 10:00 PDT,2.05
2022-06-05 10:15 PDT,1.93
2022-06-05 10:30 PDT,1.82
2022-06-05 10:45 PDT,1.71
2022-06-05 11:00 PDT,1.61
2022-06-05 11:15 PDT,1.52
2022-06-05 11:30 PDT,1.44
2022-06-05 11:45 PDT,1.37
2022-06-05 12:00 PDT,1.31
2022-06-05 12:15 PDT,1.27
2022-06-05 12:30 PDT,1.24
2022-06-05 12:45 PDT,1.24
2022-06-05 13:00 PDT,1.25
2022-06-05 13:15 PDT,1.28
2022-06-05 13:30 PDT,1.33
2022-06-05 13:45 PDT,1.4
2022-06-05 14:00 PDT,1.48
2022-06-05 14:15 PDT,1.57
2022-06-05 14:30 PDT,1.68
2022-06-05 14:45 PDT,1.79
2022-06-05 15:00 PDT,1.9
2022-06-05 15:15 PDT,2.03
2022-06-05 15:30 PDT,2.15
2022-06-05 15:45 PDT,2.27
2022-06-05 16:00 PDT,2.39
2022-06-05 16:15 PDT,2.52
2022-06-05 16:30 PDT,2.64
2022-06-05 16:45 PDT,2.76
2022-06-05 17:00 PDT,2.87
2022-06-05 17:15 PDT,2.99
2022-06-05 17:30 PDT,3.1
2022-06-05 17:45 PDT,3.21
2022-06-05 18:00 PDT,3.31
2022-06-05 18:15 PDT,3.4
2022-06-05 18:30 PDT,3.48
2022-06-05 18:45 PDT,3.54
2022-06-05 19:00 PDT,3.6
2022-06-05 19:15 PDT,3.63
2022-06-05 19:30 PDT,3.66
2022-06-05 19:45 PDT,3.66
2022-06-05 20:00 PDT,3.65
2022-06-05 20:15 PDT,3.63
2022-06-05 20:30 PDT,3.59
2022-06-05 20:45 PDT,3.55
2022-06-05 21:00 PDT,3.5
2022-06-05 21:15 PDT,3.44
2022-06-05 21:30 PDT,3.38
2022-06-05 21:45 PDT,3.32
2022-06-05 22:00 PDT,3.25
2022-06-05 22:15 PDT,3.19
